locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-25T13:30:00+00:00,2021-01-25,pm10,109,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-25T12:30:00+00:00,2021-01-25,pm10,78,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-23T05:00:00+00:00,2021-01-23,pm10,109.9,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-21T07:30:00+00:00,2021-01-21,pm10,62,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-21T06:45:00+00:00,2021-01-21,pm10,87,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-21T06:00:00+00:00,2021-01-21,pm10,110.84,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-21T05:45:00+00:00,2021-01-21,pm10,124,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-21T04:00:00+00:00,2021-01-21,pm10,173.4,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-20T07:45:00+00:00,2021-01-20,pm10,55,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-20T05:15:00+00:00,2021-01-20,pm10,72,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-20T03:15:00+00:00,2021-01-20,pm10,119,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-20T03:00:00+00:00,2021-01-20,pm10,86.78,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-19T14:00:00+00:00,2021-01-19,pm10,215.07,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-19T13:15:00+00:00,2021-01-19,pm10,134,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-19T12:45:00+00:00,2021-01-19,pm10,79,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-19T06:30:00+00:00,2021-01-19,pm10,55,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-18T05:15:00+00:00,2021-01-18,pm10,119,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T23:00:00+00:00,2021-01-17,pm10,49.29,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T22:30:00+00:00,2021-01-17,pm10,50,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T22:15:00+00:00,2021-01-17,pm10,50,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T21:30:00+00:00,2021-01-17,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T21:15:00+00:00,2021-01-17,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T20:45:00+00:00,2021-01-17,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T20:15:00+00:00,2021-01-17,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T20:00:00+00:00,2021-01-17,pm10,47.78,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T19:30:00+00:00,2021-01-17,pm10,46,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T19:15:00+00:00,2021-01-17,pm10,46,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T12:00:00+00:00,2021-01-17,pm10,52.62,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T11:45:00+00:00,2021-01-17,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T10:30:00+00:00,2021-01-17,pm10,61,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T06:45:00+00:00,2021-01-17,pm10,63,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-17T02:15:00+00:00,2021-01-17,pm10,94,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T18:45:00+00:00,2021-01-16,pm10,59,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T18:15:00+00:00,2021-01-16,pm10,59,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T06:00:00+00:00,2021-01-16,pm10,73.11,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T03:45:00+00:00,2021-01-16,pm10,110,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T01:00:00+00:00,2021-01-16,pm10,75.07,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T08:00:00+00:00,2021-01-15,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T07:30:00+00:00,2021-01-15,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T06:15:00+00:00,2021-01-15,pm10,63,µg/m³,14.4758,75.9052
