locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-22T05:15:00+00:00,2021-01-22,pm10,108,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-21T10:45:00+00:00,2021-01-21,pm10,79,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-21T08:00:00+00:00,2021-01-21,pm10,67,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-21T06:00:00+00:00,2021-01-21,pm10,44,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-21T05:30:00+00:00,2021-01-21,pm10,44.9,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-21T04:00:00+00:00,2021-01-21,pm10,99,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T19:30:00+00:00,2021-01-20,pm10,78.8,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T15:30:00+00:00,2021-01-20,pm10,84.78,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T14:45:00+00:00,2021-01-20,pm10,107,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T11:45:00+00:00,2021-01-20,pm10,42,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T11:00:00+00:00,2021-01-20,pm10,985,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T07:45:00+00:00,2021-01-20,pm10,48,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T05:30:00+00:00,2021-01-20,pm10,86.44,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T04:15:00+00:00,2021-01-20,pm10,139,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T03:00:00+00:00,2021-01-20,pm10,132,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T01:30:00+00:00,2021-01-20,pm10,82.8,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-20T00:30:00+00:00,2021-01-20,pm10,101.3,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-19T23:30:00+00:00,2021-01-19,pm10,118.7,µg/m³,15.34763,76.181767
12041,"Diwator Nagar, Koppal - KSPCB",Koppal,IN,2021-01-19T23:00:00+00:00,2021-01-19,pm10,89,µg/m³,15.34763,76.181767
